from,to,hundredth,thousandth
1201,3207,16,2
1201,3208,7,1
1201,3209,17,2
1201,3210,10,1
1201,3211,12,1
1201,3212,14,1
1201,3213,5,1
1201,3301,8,1
1201,3302,5,1
1201,3303,66,7
1201,3304,1,0
1201,3305,1,0
1201,3306,10,1
1201,3307,11,1
1201,3308,0,0
1201,3309,2,0
1201,3310,26,3
1201,3311,1,0
1201,3401,31,3
1201,3402,62,6
1201,3403,4,0
1201,3404,6,1
1201,3405,10,1
1201,3406,2,0
1201,3407,0,0
1201,3408,65,7
1201,3410,1,0
1201,3411,5,1
1201,3412,132,13
1201,3413,6,1
1201,3415,21,2
1201,3416,33,3
1201,3417,0,0
1201,3418,4,0
1201,3501,11,1
1201,3502,2,0
1201,3503,25,2
1201,3504,2,0
1201,3505,21,2
1201,3506,2,0
1201,3507,1,0
1201,3508,4,0
1201,3509,5,1
1201,3601,8,1
1201,3602,1,0
1201,3603,1,0
1201,3604,11,1
1201,3605,0,0
1201,3606,0,0
1201,3607,2,0
1201,3608,2,0
1201,3609,5,1
1201,3610,3,0
1201,3611,2,0
1201,3701,55,6
1201,3702,12,1
1201,3703,12,1
1201,3704,6,1
1201,3705,16,2
1201,3706,26,3
1201,3707,21,2
1201,3708,74,7
1201,3709,52,5
1201,3710,5,1
1201,3711,5,1
1201,3713,43,4
1201,3714,249,25
1201,3715,71,7
1201,3716,66,7
1201,3717,125,12
1201,4101,17,2
1201,4102,9,1
1201,4103,13,1
1201,4104,5,1
1201,4105,36,4
1201,4106,5,1
1201,4107,13,1
1201,4108,7,1
1201,4109,16,2
1201,4110,5,1
1201,4111,5,1
1201,4112,2,0
1201,4113,38,4
1201,4114,25,2
1201,4115,51,5
1201,4116,51,5
1201,4117,73,7
1201,4201,19,2
1201,4202,3,0
1201,4203,10,1
1201,4205,7,1
1201,4206,8,1
1201,4207,1,0
1201,4208,26,3
1201,4209,17,2
1201,4210,13,1
1201,4211,39,4
1201,4212,3,0
1201,4213,8,1
1201,4228,3,0
1201,4290,20,2
1201,4301,11,1
1201,4302,2,0
1201,4303,2,0
1201,4304,6,1
1201,4305,5,1
1201,4306,1,0
1201,4307,3,0
1201,4308,4,0
1201,4309,2,0
1201,4310,2,0
1201,4311,6,1
1201,4312,2,0
1201,4313,7,1
1201,4331,0,0
1201,4401,9,1
1201,4402,3,0
1201,4403,4,0
1201,4404,0,0
1201,4405,2,0
1201,4406,5,1
1201,4407,0,0
1201,4408,1,0
1201,4409,8,1
1201,4412,1,0
1201,4413,1,0
1201,4414,1,0
1201,4415,0,0
1201,4416,1,0
1201,4417,1,0
1201,4418,0,0
1201,4419,5,1
1201,4420,1,0
1201,4451,2,0
1201,4452,4,0
1201,4453,3,0
1201,4501,5,1
1201,4502,3,0
1201,4503,5,1
1201,4504,3,0
1201,4505,1,0
1201,4506,0,0
1201,4507,1,0
1201,4508,0,0
1201,4509,0,0
1201,4510,0,0
1201,4511,0,0
1201,4512,1,0
1201,4513,2,0
1201,4514,3,0
1201,4601,0,0
1201,4602,0,0
1201,4690,4,0
1201,5000,56,6
1201,5101,13,1
1201,5103,3,0
1201,5104,1,0
1201,5105,9,1
1201,5106,9,1
1201,5107,22,2
1201,5108,15,2
1201,5109,5,1
1201,5110,3,0
1201,5111,13,1
1201,5113,21,2
1201,5114,7,1
1201,5115,11,1
1201,5116,7,1
1201,5117,27,3
1201,5118,0,0
1201,5119,13,1
1201,5120,6,1
1201,5132,0,0
1201,5133,0,0
1201,5134,0,0
1201,5201,6,1
1201,5202,1,0
1201,5203,2,0
1201,5204,1,0
1201,5205,1,0
1201,5206,1,0
1201,5223,1,0
1201,5226,1,0
1201,5227,2,0
1201,5301,3,0
1201,5303,0,0
1201,5304,0,0
1201,5305,0,0
1201,5306,2,0
1201,5307,0,0
1201,5308,0,0
1201,5309,0,0
1201,5323,0,0
1201,5325,2,0
1201,5326,1,0
1201,5328,0,0
